tmdb_id,title,original_title,release_date,origin_country,language,genres,keywords,runtime,short_summary,tagline,status,budget,revenue,production_companies,production_countries,poster_url,backdrop_url,homepage,trailer_url,imdb_id,wikidata_id,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,popularity,vote_average,vote_count
1586164,Efes'in Sırrı,Efes'in Sırrı,2026-01-16,TR,tr,Family,,,,,Released,,2740000,Poll Films,Turkey,https://image.tmdb.org/t/p/w500/bwzWzfAA5UcKQTsSGAxdIyo4sKh.jpg,https://image.tmdb.org/t/p/original/4r7SXeCOn49Str7VDXSV7KRjKtc.jpg,,,tt39308791,,,,,,,,0.63,0.0,0
785534,Paper Lives,Kağıttan Hayatlar,2021-03-12,TR,tr,Drama,,96,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",,Released,,,"OGM Pictures, OG Medya",Turkey,https://image.tmdb.org/t/p/w500/cmru6N6Hnw2pJwuo1ctH1CxKqKZ.jpg,https://image.tmdb.org/t/p/original/ctckqAvz9aTZDtfXLmDUdMflesU.jpg,https://www.netflix.com/title/81334946,https://www.youtube.com/watch?v=lXdSaVK-vzs,tt13045890,Q104816324,,,,,,,1.18,8.0,408
1131305,The House with No Address,Adresi Olmayan Ev,2025-12-26,TR,tr,"Science Fiction, Drama",,96,"Alper is a young and upcoming prosecutor in a land where anyone found guilty of a major crime is erased from society. But when his mother is convicted, Alper begins to question the rules he once fought to uphold.",Remembering is not as easy as you think.,Released,,,"Sky Films, View Master Films, Vantablack Film Production","Turkey, Greece",https://image.tmdb.org/t/p/w500/4s5KNHG6wVMZzS4QsjeXsDhrL9y.jpg,https://image.tmdb.org/t/p/original/86Ev0rf4duuqfZRvnZlC79NunNg.jpg,,https://www.youtube.com/watch?v=jL4hUEfv394,tt14822268,,,,,,,,0.74,0.0,0
911306,Brother in Love 2,Aykut Enişte 2,2021-12-02,TR,tr,Comedy,,118,"On the eve of his wedding, a young man must deal with the trouble caused by an unexpected guest — his bride's former brother-in-law.",,Released,,2551748,BKM,Turkey,https://image.tmdb.org/t/p/w500/41c6pOhq8AQaMbUQD2SKtbR8ldl.jpg,https://image.tmdb.org/t/p/original/10WPNTeDvaHbpPXqtFgRODNLj4A.jpg,,,tt12738164,Q118212535,,,,,,,0.54,6.2,30
665766,The Turks are Coming: The Sword of Justice,Türkler Geliyor: Adaletin Kılıcı,2020-01-23,TR,tr,"Action, Drama, History",,125,"The period after the Sultan Mehmed II (the Conqueror) conquered Constantinople, moving towards Europe in the fifteenth century , and Sultan Mehmed's determination to spread Islam in Europe by the superb morals of Muslims then.",,Released,,,Bozdağ Film,Turkey,https://image.tmdb.org/t/p/w500/ygjhsV4Hoeif83yf0Evk5BKLz8D.jpg,https://image.tmdb.org/t/p/original/2PArtmq7XyzjKreYpQo6nYbr92l.jpg,,,tt11167818,Q80220497,,,,,,,0.76,4.0,7
1030328,Treasure,Hazine,2022-11-04,TR,tr,"Comedy, Crime",,108,"Mesut, a civil servant who returns his hometown to bury his mother, is dragged into by his younger brother Musa to a treasure hunt and finds himself tangled up with a murder.",,Released,,,"BKM, United International Pictures",Turkey,https://image.tmdb.org/t/p/w500/bKaHXUdOjea5K3DyrmLeifCoWcb.jpg,https://image.tmdb.org/t/p/original/qReOpdUuuxHGdDB7dMk1wGPE5wl.jpg,,,tt22450920,,,,,,,,0.5,5.1,16
1172338,Kasap,Kasap,2023-08-31,TR,tr,"Mystery, Thriller, Animation","mass murder, detective, murderer, drawing, killer, paint, blood, animation",9,"While tracking down a serial killer, the detective discovers that the killer is also a painter. The murderer creates horrific paintings using the blood of his victims. While trying to solve the murders, the detective tries to understand the motives behind the murderer and the way the murderer expresses himself.",,Released,,,,,https://image.tmdb.org/t/p/w500/s2hJ1ZlmI7fpPI3Bc3p1maV9W59.jpg,https://image.tmdb.org/t/p/original/c8drEWvhFmt2tUqgGG0uZV1CVkc.jpg,,,tt29351673,,,,,,,,0.52,2.0,1
1627055,Arena,Arena,2026-01-21,TR,tr,"Drama, Thriller","chaos, competition, psychological stress, game show, ambition, class struggle, kinetic, power dynamics, social inequality, high tension, educational inequality",5,"ARENA is a high-octane quiz show pulsating with an unrelenting rhythm of light and percussion. In the grand finale, two opposite worlds collide: The prestigious Private Saint Papillon French College, a generational winner, and Demirtaş Külhan Vocational High School, a newcomer fighting for existence. While the scores are tied, the conditions are not.  The tension peaks with the final question. What is mere academic knowledge for one student is a harsh, lived reality for the other. As the final b",The final question exposes the abyss.,Released,,,,Turkey,https://image.tmdb.org/t/p/w500/gxcwRq0whtmPvHlGnkK6I6wqU9J.jpg,https://image.tmdb.org/t/p/original/rOnfxVjqyocTXZxK9FN9aQgaHDl.jpg,,,tt39538739,,,,,,,,0.93,0.0,0
1517062,Divine Comedy,کمدی الهی,2026-01-15,TR,fa,Comedy,"motorcycle, on the road, film censorship",98,"Bahram is a 40-year-old filmmaker who’s spent his entire career making films in Turkish-Azeri, none of which have ever been screened in Iran. His latest work, once again denied permission by the Ministry of culture, pushes him to the edge of defiance. With his sharp-tongued, Vespa-riding producer Sadaf by his side, he embarks on an underground mission to showcase his film to an Iranian audience, dodging government censors, absurd bureaucracy, and his own self- doubts.",,Released,,,"Seven Springs Pictures, Taat Films, Zoe Films","Iran, Italy, France",https://image.tmdb.org/t/p/w500/t8jhPhAmYc9abcR8iODHINrhDKh.jpg,https://image.tmdb.org/t/p/original/3FnU3DFx71i3IxxhPcIclXPmsKk.jpg,https://www.visionssudest.ch/projects/the-divine-comedy,https://www.youtube.com/watch?v=sNb3Pn4a8Cs,tt37660493,Q136259901,,,,,,,0.47,8.0,2
1071222,Iron Woman: Neslican,Demir Kadın: Neslican,2023-01-27,TR,tr,Drama,,,"Demir Kadın Neslican tells the life story of ""Iron Woman"" Neslican Tay, who gave hope to people with her struggle to cling to life while undergoing cancer treatment. The film recounts the difficult treatment process that began when she was diagnosed with cancer, revealing Neslican's experiences during this period and her struggle to cling to life.",,Released,,,"CNS Production, Ceylan Yapım, K.A Yapim",Turkey,https://image.tmdb.org/t/p/w500/4Hsai19ZHjfKYre38w2xe7Qoi4m.jpg,https://image.tmdb.org/t/p/original/rBHMRtK99oDE69AckCyjD4DRk25.jpg,,,tt13137290,,,,,,,,0.5,6.0,1
1561060,Bugün Güzel,Bugün Güzel,2025-12-11,TR,tr,"Romance, Comedy",,118,"Ali, a television programmer known for his healthy living advice, faces unexpected changes when he meets nurse Güneş after being diagnosed with a brain tumor.",,Released,,,"TAFF Pictures, RETROPRO",Turkey,https://image.tmdb.org/t/p/w500/fNcuqMV7v72T0LhHdL4cI1jGyDl.jpg,,,,tt38648344,,,,,,,,0.53,0.0,0
916305,Bir,Bir,2021-12-04,TR,tr,Drama,"single mother, family, organic, job, elif sözen, bir",,"Aylin, who lives with her mother in Istanbul, is continuing her university education. In the harsh conditions of life, they exist with a new ""deceptive"" business model that suits the desires of today's city dwellers.",,Released,,,"1000 Volt, Bando Yapım",Turkey,https://image.tmdb.org/t/p/w500/eJ1vy1WacEIZx4rK9fmxXDfLVWk.jpg,,,,,,bir_kisafilm,https://www.instagram.com/bir_kisafilm/,,,,,0.5,0.0,0
1030225,Suddenly,Aniden,2023-12-22,TR,tr,Drama,,115,"Reyhan realizes that she has lost her sense of smell during a short vacation. Although the possibility of a serious illness worries her, she will follow her instincts to regain her sense of smell instead of undergoing further tests.",,Released,,,"Aniden Film, Vigo Film, Zischlermann Filmproduktion","Germany, Turkey",https://image.tmdb.org/t/p/w500/eziKMAlvWqdpHYl1FtAlUPtk8d8.jpg,https://image.tmdb.org/t/p/original/2vqbKNyIQtTib57Y8IZnPBgzq7a.jpg,,,tt13727606,,,,,,,,0.63,5.5,6
1402859,Quarantine,Karantina,2025-01-09,TR,tr,"Drama, Crime","epidemic, teenage romance, new school",114,"Describing herself as a ""trouble magnet,"" Zeynep finds herself in the middle of chaos on her first day at her new school. An outbreak forces the school into lockdown, and that night, she stumbles upon the lifeless body of a female student in the dark hallways. She’s not alone—she’s joined by Onur Zorlu, the school principal’s son, and his friends Burak and Mert. Fearing his father’s weak heart won’t handle the news of a murder, Onur proposes they keep it a secret until the quarantine is lifted a",,Released,,2500000,OTTO Entertainment,Turkey,https://image.tmdb.org/t/p/w500/2BvjlOVoYqkJQD49mkD0MHGpxy.jpg,https://image.tmdb.org/t/p/original/j1K0u3TQiCOM1mlxAjxAFyi2V77.jpg,,,tt32810861,,,,,,,,0.69,7.0,9
1285495,Takıntılar,Takıntılar,2024-11-15,TR,tr,Comedy,"ironic, introspective, lighthearted, witty, hilarious, amused, approving, celebratory, earnest, empathetic, hopeful, optimistic",97,"The film, adapted from French writer Laurent Baffie’s play “Toc Toc,” revolves around the adventures of six individuals with obsessive-compulsive disorder (OCD) whose appointments with renowned psychiatrist Orhan Kerim Baykal overlap, only to find that the doctor is nowhere to be found.",,Released,,,"ONK Content, Birleşik Heyecanlar, Sky Films",Turkey,https://image.tmdb.org/t/p/w500/gMZGiMBsNx50a94ioI09nhnrBYf.jpg,https://image.tmdb.org/t/p/original/8Jc9HBJQpFuk5QSB5XlaOoW5t23.jpg,,,tt32127524,,takantakanafilm,https://www.instagram.com/takantakanafilm/,,,,,0.62,5.0,11
1318715,Galata,Galata,2024-10-06,TR,tr,Drama,,99,"In the aftermath of the scandal involving leaked erotic videos, renowned model Sevda and Dr. Yusuf, seeking an escape from the monotonous walls of his routine life, coincidentally meet after Yusuf leaves home following a heated argument with his wife. What starts as a chance encounter evolves into walks through the streets of Galata under the pretext of Yusuf’s documentary film project.  As the duo explores the intricacies of the city, they embark on a profound questioning of life, relationships",,Released,,,MTA Film,Turkey,https://image.tmdb.org/t/p/w500/b3Oqzm0QJxrR5V0gMgiyjimVJUS.jpg,https://image.tmdb.org/t/p/original/oS1wkludS8AB8YKXBhecvjPX2A9.jpg,,,tt32915708,,,,,,,,0.38,0.0,0
1316617,The Playroom,Evcilik,2024-12-27,TR,tr,"Thriller, Drama",,97,"Fırat and Filiz are a couple in their 30s. Because their marriage has entered a period of stagnation, they go to a quiet, small hotel near Assos for a holiday. At the hotel, they meet Özkan and Aysun, local villagers who are running the entire hotel and the seaside restaurant. As Fırat and Filiz observe the relationship dynamics between the local couple, they start to mimick them. One day, while on a hike up a deserted hill, supposedly searching for a historical ruin, Filiz mimics Aysun’s way of",,Released,,,"Sky Films, Meddah Kolektif",Turkey,https://image.tmdb.org/t/p/w500/yXYLyeMFspuPBjJBYk72GXI5lCn.jpg,https://image.tmdb.org/t/p/original/zjculDUDvQp8yYkbCwcIsdc2GnU.jpg,,,tt35050958,Q132146207,,,,,,,0.94,6.2,7
