tmdb_id,show_title,season_number,season_name,air_date,episode_count,overview,poster_url,season_id
301070,Police Police,1,Season 1,2025-09-19,100,,https://image.tmdb.org/t/p/w500/6R2yp5gnbyDBHoMChjTG5Uli5fC.jpg,476016
113457,Mismatched,1,Season 1,2020-11-20,6,,https://image.tmdb.org/t/p/w500/kSAckGd9Lg1ikXA48OAIkoii4x3.jpg,169534
113457,Mismatched,2,Season 2,2022-10-14,8,"With rocky romances and unforgiving deadlines, Dimple and Rishi navigate their summer program’s end and the ultimate question: Are they meant to be?",https://image.tmdb.org/t/p/w500/3JphKZVfMaYa5BxAjgGp9jFOaLj.jpg,310622
113457,Mismatched,3,Season 3,2024-12-13,8,,https://image.tmdb.org/t/p/w500/mdsY4yg4vsbMgj0LfwudLjrsV6w.jpg,429573
113457,Mismatched,4,Season 4,,0,,,498573
240983,Sapne vs Everyone,1,Season 1,2023-12-08,5,,https://image.tmdb.org/t/p/w500/1BQRzXTX0tEaglmbwEffk7peEmv.jpg,368624
310556,Prayagraj Ki Love Story,1,Season 1,2026-01-06,6,,https://image.tmdb.org/t/p/w500/dybT450B5l4Z2Igyg4FFj46YrOm.jpg,493889
115466,Mumbai Diaries,1,26/11,2021-09-09,8,Mumbai Diaries is a medical thriller set in the Emergency Room of a hospital. The series explores the challenges faced by the medical staff at the hospital as well as other first responders across the city of Mumbai in dealing with a crisis of immense magnitude. In this battle to save lives and heal,https://image.tmdb.org/t/p/w500/2YTZfT3cq8CDnlWWGNXTBmvxRTa.jpg,173968
115466,Mumbai Diaries,2,Season 2,2023-10-06,8,"As a devastating deluge threatens to submerge the city of Mumbai, our crew at BGH would once again have to put aside their personal issues; some of which threaten to destroy them, their relationships and their very futures, to help a city survive. They will have to come to terms with past demons and",https://image.tmdb.org/t/p/w500/jDZXjtO3i1WpePWmg7paVKNpdfz.jpg,358883
295251,Two Much with Kajol and Twinkle,1,Season 1,2025-09-25,11,,https://image.tmdb.org/t/p/w500/261dokXdpS1KGIqvW9hiPKx6u6G.jpg,463751
292625,Single Papa,1,Season 1,2025-12-12,6,,https://image.tmdb.org/t/p/w500/lZoeUMY9p0uza3aAhtnFxoiksO4.jpg,458582
292625,Single Papa,2,Season 2,,0,,,496399
